source_url,target_url,link_type,reason
"https://taptogen.vercel.app/bn/tools/generator-orc-name/","https://taptogen.com/bn/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/generator-orc-name/","https://taptogen.com/bn/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-lowercase/","https://taptogen.com/hi/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-lowercase/","https://taptogen.com/hi/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-multiple-choice-question/","https://taptogen.com/hi/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-multiple-choice-question/","https://taptogen.com/hi/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-marketplace-tag/","https://taptogen.com/hi/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-marketplace-tag/","https://taptogen.com/hi/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-product-title/","https://taptogen.com/hi/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/generator-product-title/","https://taptogen.com/hi/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/generator-sku/","https://taptogen.com/bn/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/generator-sku/","https://taptogen.com/bn/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/slogan-generator-hi/","/fr/tools/générateur-de-slogan/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/slogan-generator-hi/","https://taptogen.com/hi/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/slogan-generator-hi/","https://taptogen.com/hi/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/slogan-generator-hi/","/fr/tools/générateur-de-slogan/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/hi/tools/slogan-generator-hi/","/fr/tools/générateur-de-slogan/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/team-nam-generator/","/fr/tools/générateur-de-noms-dequipe/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/team-nam-generator/","https://taptogen.com/bn/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/team-nam-generator/","https://taptogen.com/bn/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/team-nam-generator/","/fr/tools/générateur-de-noms-dequipe/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/team-nam-generator/","/fr/tools/générateur-de-noms-dequipe/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/generator-estimate/","https://taptogen.com/bn/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/bn/tools/generator-estimate/","https://taptogen.com/bn/tools/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/it/tools/generatore-book-name/","https://taptogen.com/it/","Internal Link","Link path not declared in sitemap.xml"
"https://taptogen.vercel.app/it/tools/generatore-book-name/","https://taptogen.com/it/tools/","Internal Link","Link path not declared in sitemap.xml"
